iter	Passed	Remaining
1563	11145	3007
1564	11151	2999
1565	11158	2992
1566	11164	2985
1567	11171	2978
1568	11178	2970
1569	11186	2964
1570	11192	2956
1571	11198	2949
1572	11205	2942
1573	11213	2935
1574	11221	2928
1575	11227	2920
1576	11233	2913
1577	11240	2906
1578	11247	2899
1579	11253	2891
1580	11258	2884
1581	11265	2876
1582	11271	2869
1583	11278	2862
1584	11285	2855
1585	11293	2848
1586	11301	2841
1587	11307	2834
1588	11314	2826
1589	11321	2819
1590	11327	2812
1591	11334	2805
1592	11341	2798
1593	11348	2790
1594	11355	2783
1595	11361	2776
1596	11367	2769
1597	11374	2761
1598	11380	2754
1599	11387	2747
1600	11395	2740
1601	11401	2733
1602	11408	2725
1603	11415	2718
1604	11422	2711
1605	11429	2704
1606	11435	2697
1607	11442	2689
1608	11450	2682
1609	11456	2675
1610	11463	2668
1611	11470	2661
1612	11476	2653
1613	11482	2646
1614	11489	2639
1615	11496	2632
1616	11503	2624
1617	11509	2617
1618	11516	2610
1619	11523	2603
1620	11530	2596
1621	11537	2589
1622	11544	2582
1623	11551	2574
1624	11557	2567
1625	11565	2560
1626	11571	2553
1627	11578	2546
1628	11586	2539
1629	11591	2531
1630	11597	2524
1631	11604	2517
1632	11611	2509
1633	11617	2502
1634	11623	2495
1635	11631	2488
1636	11637	2480
1637	11643	2473
1638	11650	2466
1639	11656	2459
1640	11664	2452
1641	11670	2444
1642	11677	2437
1643	11684	2430
1644	11690	2423
1645	11697	2416
1646	11703	2408
1647	11710	2401
1648	11717	2394
1649	11724	2387
1650	11732	2380
1651	11739	2373
1652	11746	2366
1653	11753	2359
1654	11761	2352
1655	11767	2344
1656	11773	2337
1657	11779	2330
1658	11786	2323
1659	11794	2316
1660	11800	2308
1661	11807	2301
1662	11814	2294
1663	11821	2287
1664	11828	2280
1665	11835	2273
1666	11842	2266
1667	11848	2258
1668	11855	2251
1669	11862	2244
1670	11868	2237
1671	11876	2230
1672	11882	2223
1673	11891	2216
1674	11898	2209
1675	11905	2202
